hero_name,num_games,blue_ban_num,red_ban_num,full_ban_num,full_ban_rate,blue_ban_ratio,red_ban_ratio,mbat_team_name,mbat_ban_num,mbat_ban_ratio,blue_pick_num,blue_pick_rate,red_pick_num,red_pick_rate,full_pick_num,full_pick_rate,mpnt_team_name,mpnt_pick_num,mpnt_win_num,mpnt_win_rate,full_bp_num,full_bp_rate,full_win_num,full_lose_num,full_win_rate,full_win_avg_game_time_sec,full_lose_avg_game_time_sec,mwrt_team_name,mwrt_pick_num,mwrt_win_num,mwrt_win_rate
gatotkaca,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
harley,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
argus,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
hylos,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
zhask,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
lesley,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
jawhead,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
valir,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
hanabi,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
chang'e,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
selena,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
aldous,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
vale,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
hanzo,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
belerick,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
kimmy,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
minsitthar,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
badang,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
granger,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
silvanna,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
cecilion,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
carmilla,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
atlas,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
popol and kupa,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
barats,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
natan,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
aulus,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
yin,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
melissa,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
xavier,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
julian,152,0,0,0,0.0,0.0,0.0,,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0,0.0,0,0,,0,0.0,0.0
